ProductID,ProductName,QuantityInStock,ReorderPoint,Supplier,SupplierContact,LeadTime,StorageLocation,UnitCost
P98420,Monitor,97,81,Global Parts,global parts@example.com,17,WH-5,174.13
P70372,Monitor,229,32,SupplyCo,supplyco@example.com,19,WH-4,91.07
P54851,Laptop,15,72,Global Parts,global parts@example.com,13,WH-5,179.93
P89338,Tablet,35,56,Global Parts,global parts@example.com,21,WH-2,159.55
P76449,Chair,442,64,DirectGoods,directgoods@example.com,8,WH-4,2.02
P43919,Laptop,99,79,SupplyCo,supplyco@example.com,6,WH-5,116.17
P49408,Laptop,286,33,WarePlus,wareplus@example.com,17,WH-3,157.27
P89124,Monitor,228,45,Global Parts,global parts@example.com,18,WH-5,3.93
P47947,Tablet,54,99,WarePlus,wareplus@example.com,11,WH-3,102.09
P35719,Printer,396,84,WarePlus,wareplus@example.com,17,WH-4,147.57
P26057,Desk,163,44,Global Parts,global parts@example.com,17,WH-5,155.35
P62279,Printer,445,80,SupplyCo,supplyco@example.com,20,WH-1,4.07
P77428,Chair,437,83,WarePlus,wareplus@example.com,11,WH-2,128.82
P86485,Chair,301,27,Global Parts,global parts@example.com,10,WH-4,66.48
P60361,Tablet,16,70,DirectGoods,directgoods@example.com,3,WH-1,182.34
P65633,Printer,176,53,SupplyCo,supplyco@example.com,15,WH-2,68.77
P17585,Tablet,186,76,WarePlus,wareplus@example.com,9,WH-4,47.17
P71068,Printer,229,72,WarePlus,wareplus@example.com,15,WH-3,96.59
P29554,Phone,444,33,DirectGoods,directgoods@example.com,4,WH-4,5.48
P99352,Desk,405,34,WarePlus,wareplus@example.com,17,WH-3,92.46
P81659,Desk,132,33,Global Parts,global parts@example.com,10,WH-1,60.53
P78321,Desk,485,64,DirectGoods,directgoods@example.com,6,WH-1,194.42
P53762,Desk,68,39,WarePlus,wareplus@example.com,13,WH-3,176.51
P57768,Tablet,304,30,SupplyCo,supplyco@example.com,15,WH-5,74.44
P36411,Phone,171,60,DirectGoods,directgoods@example.com,4,WH-4,112.65
P50133,Monitor,1,55,WarePlus,wareplus@example.com,12,WH-3,18.69
P99281,Phone,322,73,SupplyCo,supplyco@example.com,9,WH-1,168.96
P69659,Phone,291,53,SupplyCo,supplyco@example.com,10,WH-3,161.77
P21237,Monitor,385,57,Global Parts,global parts@example.com,10,WH-1,169.39
P20593,Tablet,285,48,DirectGoods,directgoods@example.com,20,WH-2,155.59
P89248,Phone,253,42,DirectGoods,directgoods@example.com,11,WH-4,175.7
P72326,Monitor,374,50,DirectGoods,directgoods@example.com,6,WH-2,156.4
P60678,Laptop,221,67,WarePlus,wareplus@example.com,19,WH-3,2.8
P82988,Tablet,476,99,SupplyCo,supplyco@example.com,17,WH-1,175.08
P96720,Chair,73,33,WarePlus,wareplus@example.com,6,WH-4,116.8
P81820,Phone,367,81,DirectGoods,directgoods@example.com,14,WH-1,77.84
P21469,Monitor,314,90,SupplyCo,supplyco@example.com,8,WH-2,94.12
P98261,Phone,38,43,SupplyCo,supplyco@example.com,14,WH-1,177.72
P96491,Chair,423,51,WarePlus,wareplus@example.com,21,WH-2,154.86
P53581,Chair,447,99,Global Parts,global parts@example.com,9,WH-4,28.72
P61869,Monitor,379,66,WarePlus,wareplus@example.com,18,WH-3,67.36
P13049,Chair,479,38,DirectGoods,directgoods@example.com,21,WH-5,46.56
P53476,Printer,14,72,SupplyCo,supplyco@example.com,21,WH-2,104.55
P21452,Phone,223,45,Global Parts,global parts@example.com,11,WH-4,199.86
P22282,Printer,82,98,Global Parts,global parts@example.com,8,WH-2,183.72
P90077,Laptop,439,33,Global Parts,global parts@example.com,18,WH-5,81.16
P66075,Chair,430,73,SupplyCo,supplyco@example.com,9,WH-3,142.2
P28229,Chair,391,79,Global Parts,global parts@example.com,14,WH-1,12.09
